character,pinyin,definitions
有事,yǒushì,"быть занятым, иметь дела"
于,yú,"для, ради, в целях, в интересах; (происходить) из, от"
娱乐,yúlè,"радоваться, веселиться, развлечение"
愉快,yúkuài,"приятный, весёлый, радостный; радоваться"
与,yǔ,и; с; к
宇航员,yǔhángyuán,"космонавт, астронавт"
雨衣,yǔyī,дождевик
预约,yùyuē,записываться
元素,yuánsù,"основной элемент; (хим., мат.) элемент; элементный,"
园,yuán,"сад, парк"
园地,yuándì,"сад, огород"
原,yuán,"исходный, первоначальный"
原告,yuángào,"истец, жалобщик"
原谅,yuánliàng,"извинять, прощать"
圆珠笔,yuánzhūbǐ,шариковая ручка
援助,yuánzhù,"помогать, поддерживать"
缘故,yuángù,причина
远方,yuǎnfāng,"даль, далекие края"
远离,yuǎnlí,"находиться далеко от, держаться подальше от"
远远,yuǎnyuǎn,"отдаленный, далекий"
约定,yuēdìng,"договариваться о, уславливаться о; договоренность, соглашение"
乐曲,yuèqǔ,"музыка, музыкальное произведение"
晕,yūn,"чувствовать головокружение, потерять сознание; упасть в обморок"
允许,yǔnxǔ,"разрешать, позволять; обещать; допускать; разрешение, согласие"
运作,yùnzuò,двигаться и действовать
晕车,yùn chē,"укачиваться, укачивает (в машине)"
杂,zá,"разнообразный, разнородный, смешанный; дополнительный; смешивать(ся), перемешивать(ся)"
再生,zàishēng,"возродиться, регенерировать; регенерация, переработка"
再说,zàishuō,"откладывать на потом, возвращаться к вопросу позже"
遭到,zāodào,"подвергаться, терпеть, встречать (критику)"
遭受,zāoshòu,подвергнуться; испытать; потерпеть
遭遇,zāoyù,"испытывать, подвергаться, переносить, встречаться с; жизнь; участь, судьба"
早晚,zǎowǎn,утро и вечер; рано или поздно
增进,zēngjìn,"улучшать, укреплять, усиливать"
增值,zēngzhí,поднять цены; рост цен; ревальвация
扎,zā,колоть; уколоть
扎实,zhāshi,крепкий; прочный; основательно
炸,zhà,"разрываться, лопаться; разлетаться на части; (разг.) впадать в ярость; (разг.) бежать в ужасе"
炸弹,zhàdàn,бомба
炸药,zhàyào,"взрывчатое вещество, взрывчатка"
债,zhài,"долг, задолженность"
占据,zhànjù,"захватить, занять, оккупировать, захват, оккупация"
战场,zhànchǎng,"поле боя, поле сражения"
战略,zhànlüè,стратегия; стратегический
战术,zhànshù,военное искусство; тактика; тактический
战友,zhànyǒu,"боевой товарищ, товарищ по оружию"
站台,zhàntái,платформа
章,zhāng,"правила, устав; статья, пункт; порядок; значок; (устар.) доклад императору; глава, раздел"
长,cháng(mìshūzhǎng),"возглавлять; стоять во главе (чего-либо); управлять, руководить, ведать (чем-либо)"
掌声,zhǎngshēng,"аплодисменты, рукоплескания"
账,zhàng,"счет; счетная книга; долг, задолженность"
账户,zhànghù,"учётная запись, аккаунт, счет"
涨,zhàng,разбухать; набухать; распухнуть
障碍,zhàngài,препятствовать; преграждать; препятствие; преграда; помеха
招,zhāo,"нанимать, принимать (на работу, учебу или службу)"
招聘,zhāopìn,"нанимать, приглашать, брать (на работу)"
照样,zhàoyàng,по какому-либо образцу; по установленному образцу; попрежнему; как обычно
照耀,zhàoyào,"озарять, освещать; освещающий, озаряющий; ослепительный"
哲学,zhéxué,философия; философский
这就是说,zhè jiùshì shuō,"иначе сказать, одним словом, короче говоря; это значит, что"
镇,zhèn,"давить, придавливать; сокрушать, уничтожать, усмирять; покорять;"
争夺,zhēngduó,"бороться за, стараться завладеть, отнимать"
整顿,zhěngdùn,"упорядочивать, приводить в порядок (норму); налаживать; выстраивать"
整治,zhěngzhì,"приводить в порядок, исправлять, ремонтировать; наказывать"
正当,zhèngdāng,"как раз, когда; в то время, когда; справедливый; обоснованный; законный"
政策,zhèngcè,"политика, политический курс, закон, правило"
政党,zhèngdǎng,политическая партия
政权,zhèngquán,политическая власть; власти; режим
症状,zhèngzhuàng,симптом
之类,zhīlèi,"и так далее, и тому подобное; такой, как"
支撑,zhīchēng,подпирать; держать (снизу); с трудом; еле-еле; держаться из последних сил
支援,zhīyuán,"поддерживать; подкреплять; содействие, помощь; поддержка (в бою)"
枝,zhī,"ветка, ветвь; сч. слово для предметов в виде стержня"
知名,zhīmíng,"известный, знаменитый, прославленный"
织,zhī,"ткать, вязать, плести"
直升机,zhíshēngjī,вертолет
职责,zhízé,обязанность
止,zhǐ,останавливать(ся); завершаться; только
只得,zhǐdé,"остается лишь; ничего не остается, как"
只顾,zhǐgù,"только, лишь, исключительно; заботиться только о, думать лишь о"
只管,zhǐguǎn,"несмотря ни на что, не стесняясь; только и знать, что, только лишь"
指定,zhǐdìng,"указывать; определять, назначать; устанавливать; выделять; выделение"
指数,zhǐshù,индекс
指头,zhǐtou,палец
指着,zhǐzhe,"указывать на, показывать на"
至于,zhìyú,что касается; дойти до; до
治病,zhìbìng,"лечить болезнь, лечиться"
智慧,zhìhuì,мудрость; ум
中等,zhōngděng,средний
中华,Zhōnghuá,"Китай, китайский"
中期,zhōngqī,cреднесрочный
中外,zhōngwài,"китайско-иностранный, внутри страны и за рубежом"
忠心,zhōngxīn,"верность, преданность, лояльность"
钟头,zhōngtóu,час (отрезок времени)
肿,zhǒng,"опухать, распухать"
种种,zhǒngzhǒng,"различный, разнообразный, всевозможный, всякого рода"
粥,zhōu,жидкая каша; кашица
珠宝,zhūbǎo,"жемчуг и драгоценности, ювелирные изделия"
诸位,zhūwèi,"господа!, граждане! (часто в обращении)"
主持人,zhǔchírén,ведущий (программы)
主角,zhǔjué,"главная роль, главный герой"
主流,zhǔliú,главное течение; (перен.) главное направление
煮,zhǔ,варить; кипятить; вываривать; варёный
住宅,zhùzhái,"жилище, квартира; жилищный; жилой"
驻,zhù,останавливать(ся); размещаться; проживать; быть расквартированным (о войсках)
柱子,zhùzi,"столб, опора, колонна"
祝愿,zhùyuàn,желать; пожелание
专用,zhuānyòng,использоваться для особых целей
转,zhuàn,вращаться; вертеться; крутиться
转动,zhuàndòng,"вращаться, обращаться; вращательный, ротационный; вращение, ротация"
赚,zhuàn,зарабатывать; наживать
赚钱,zhuàn qián,"зарабатывать деньги, получать прибыль"
装备,zhuāngbèi,"оборудовать, оснащать, снаряжать, экипировать; оборудование"
壮观,zhuàngguān,"величественное зрелище, внушительный вид"
追究,zhuījiū,доискиваться; выяснять; расследовать
捉,zhuō,"держать, хватать, ловить"
咨询,zīxún,справляться; консультироваться; консультативный
自来水,zìláishuǐ,водопроводная вода
自我,zìwǒ,"себя, само-; эго, я"
自学,zìxué,"изучать самостоятельно, самообучаться"
自言自语,zìyán-zìyǔ,говорить с самим собой
自在,zìzai,"свободный, неограниченный"
宗教,zōngjiào,"религия, вероучение; религиозный"
总部,zǒngbù,"главный офис, штаб-квартира"
总监,zǒngjiān,"генеральный инспектор; директор, начальник, руководитель"
总经理,zǒngjīnglǐ,генеральный директор
总量,zǒngliàng,"общая сумма, общее количество"
走私,zǒu sī,"заниматься контрабандой, контрабанда"
奏,zòu,"играть (на муз. инструменте), исполнять (муз. произведение); достигать, докладывать, доклад"
租金,zūjīn,арендная плата; рента
足,zú,"нога, ступня; футбол; достаточный, полный; достаточно, полностью; быть достаточным"
足以,zúyǐ,быть достаточным для...; годиться для...; мочь; безусловно (вполне) возможно
族,zú,"род, клан; фамилия; родовой; близкая родня, члены семьи; истребить весь род, казнить вместе с родственниками; торопиться, спешить"
族,zú( shàngbānzú),"группа людей, объединенных общей чертой или занятием"
祖父,zǔfù,"дед, дедушка (со стороны отца)"
祖国,zǔguó,родина; отечество
祖母,zǔmǔ,бабушка со стороны отца
钻,zuān,"сверло, дрель, бурав, бур (в древности также орудие казни, пытки); алмаз (для резки стекла); камень, анкер (часов); алмаз, бриллиант"
最佳,zuìjiā,"оптимальный, первоклассный, лучший"
最终,zuìzhōng,"итоговый, конечный; в итоге, в конце концов"
罪,zuì,"обвинение (в преступлении); преступление, правонарушение, незаконная деятельность; вина; мука, страдание"
罪恶,zuìè,"злодеяние; преступный, грешный"
作,zuò,"делать, заниматься (чем-л.); выделывать, производить; создавать; писать; сочинять; составлять; выступать с..."
作废,zuòfèi,"упразднять, аннулировать, избавиться"
作战,zuòzhàn,"вести войну, воевать; оперативный, боевой, действующий"
座谈会,zuòtánhuì,"собеседование; беседа (официальная); приём; совещание; сессия (неофициальная); коллоквиум; семинар, симпозиум"
