Есть в html, нет в dict

Нету слова 破冰器 | ['破冰器', '_', 'Ледокол']
Нету слова 魔枢（奖励目标）奖励任务 | ['魔枢（奖励目标）奖励任务', '_', 'Нексус – Дополнительная задача']
Нету слова 剃刀沼泽奖励任务 | ['剃刀沼泽奖励任务', '_', 'Лабиринты Иглошкурых – награда']
Нету слова 任务报告：狼穴 | ['任务报告：狼穴', '_', 'Оперативный отчет: Волчье логово']
Нету слова 时光之末奖励任务 | ['时光之末奖励任务', '_', 'Конец Времен – награда']
Нету слова 奇怪的要求 | ['奇怪的要求', '_', 'Странная просьба']
Нету слова 魔枢奖励任务 | ['魔枢奖励任务', '_', 'Нексус – награда']
Нету слова 任务报告：丛林护送 | ['任务报告：丛林护送', '_', 'Оперативный отчет: через джунгли']
Нету слова 破碎大厅奖励任务 | ['破碎大厅奖励任务', '_', 'Разрушенные залы – награда']
Нету слова 任务：杀掉兔妖 | ['任务：杀掉兔妖', '_', 'Операция "Отстрел вредителей"']
Нету слова 安保措施 | ['安保措施', '_', 'Безопасное хранение']
Нету слова 裂蹄牛训练：暴怒飞蛾 | ['裂蹄牛训练：暴怒飞蛾', '_', 'Тренировка копытня: Муха Страха']
Нету слова 萨隆矿坑奖励任务 | ['萨隆矿坑奖励任务', '_', 'Яма Сарона – награда']
Нету слова 醒醒，起来，快离开这 | ['醒醒，起来，快离开这', '_', 'Просыпайся и беги']
Нету слова 能源舰奖励任务 | ['能源舰奖励任务', '_', 'Механар – награда']
Нету слова 魔导师平台奖励任务 | ['魔导师平台奖励任务', '_', 'Терраса Магистров – награда']
Нету слова 任务报告：恐龙研究 | ['任务报告：恐龙研究', '_', 'Оперативный отчет: изучение динозавров']
Нету слова 营救艾瓦诺尔 | ['营救艾瓦诺尔', '_', 'Спасение Эванор']
Нету слова 天火降临 | ['天火降临', '_', 'Да разверзнется ад']
Нету слова 在黑暗中寻找光明 | ['在黑暗中寻找光明', '_', 'Освещенный путь во тьме']
Нету слова 琥珀包裹 | ['琥珀包裹', '_', 'Янтарная комнатка']
Нету слова 鲜血仪祭 | ['鲜血仪祭', '_', 'Ритуал крови']
Нету слова 进入祖尔法拉克 | ['进入祖尔法拉克', '_', 'Вглубь ЗулФаррака']
Нету слова 安抚科多兽 | ['安抚科多兽', '_', 'Успокоительное для кодо']
Нету слова 安保措施：启动 | ['安保措施：启动', '_', 'Системы безопасности: активны']
Нету слова 达克萨隆要塞奖励任务 | ['达克萨隆要塞奖励任务', '_', 'Крепость ДракТарон – награда']
Нету слова 潮汐王座奖励任务 | ['潮汐王座奖励任务', '_', 'Трон Приливов – награда']
Нету слова 奴隶围栏奖励任务 | ['奴隶围栏奖励任务', '_', 'Узилище – награда']
Нету слова 我鹿依旧 | ['我鹿依旧', '_', 'Склеить разбитое сердце']
Нету слова 任务报告：秃鹫之巢 | ['任务报告：秃鹫之巢', '_', 'Оперативный отчет: Гнездо стервятника']
Нету слова 女儿的拥抱 | ['女儿的拥抱', '_', 'Объятия дочери']
Нету слова 他们带走了我的父亲 | ['他们带走了我的父亲', '_', 'Они схватили моего отца']
Нету слова 哀嚎洞穴奖励任务 | ['哀嚎洞穴奖励任务', '_', 'Пещеры Стенаний – награда']
Нету слова 沙漠食谱 | ['沙漠食谱', '_', 'Блюдо из червей']
Нету слова 任务报告：阿罗姆之台 | ['任务报告：阿罗姆之台', '_', 'Оперативный отчет: Застава Арома']
Нету слова 黑色沼泽奖励任务 | ['黑色沼泽奖励任务', '_', 'Черные топи – награда']
Нету слова 破除巫术 | ['破除巫术', '_', 'Война с ведьмами']
Нету слова 野猪训练：暴怒飞蛾 | ['野猪训练：暴怒飞蛾', '_', 'Тренировка вепря: Муха Страха']
Нету слова 任务报告：自然的召唤 | ['任务报告：自然的召唤', '_', 'Оперативный отчет: природа зовет']
Нету слова 任务报告：屠杀巨人 | ['任务报告：屠杀巨人', '_', 'Оперативный отчет: истребление великанов']
Нету слова 任务报告：狐人藏身处 | ['任务报告：狐人藏身处', '_', 'Оперативный отчет: убежище вульпер']
Нету слова 钢铁码头奖励任务 | ['钢铁码头奖励任务', '_', 'Дополнительное задание: Железные доки']
Нету слова 灵魂洪炉奖励任务 | ['灵魂洪炉奖励任务', '_', 'Кузня Душ – награда']
Нету слова 短缺物资的奖励 | ['短缺物资的奖励', '_', 'Редкая награда']
Нету слова 任务：暴风城的秘密 | ['任务：暴风城的秘密', '_', 'Миссия: тайны Штормграда']
Нету слова 任务报告：布伦纳丹 | ['任务报告：布伦纳丹', '_', 'Оперативный отчет: Бреннадам']
Нету слова 闪电大厅奖励任务 | ['闪电大厅奖励任务', '_', 'Чертоги Молний – награда']
Нету слова 不碎之心 | ['不碎之心', '_', 'Не разбитое сердце']
Нету слова 被压制 | ['被压制', '_', 'В плену обстоятельств']
Нету слова 塔布羊训练：裂鞭 | ['塔布羊训练：裂鞭', '_', 'Дрессировка талбука: Распарыватель']
Нету слова 奖励目标：蛮兵高地 | ['奖励目标：蛮兵高地', '_', 'Утес Громил']
Нету слова 滑溜溜的小吃 | ['滑溜溜的小吃', '_', 'Скользкая закуска']
Нету слова 幽暗沼泽奖励任务 | ['幽暗沼泽奖励任务', '_', 'Нижетопь – награда']
Нету слова 玛拉迪诺的奖励 | ['玛拉迪诺的奖励', '_', 'Приз Марадино']
Нету слова 甘苦参半的奖励 | ['甘苦参半的奖励', '_', 'Горькая награда']
Нету слова 任务：夺回包裹 | ['任务：夺回包裹', '_', 'Задание: найти сверток']
Нету слова 海拉加尔登陆战：维克特 | ['海拉加尔登陆战：维克特', '_', 'Рейд хеларьяров: Врект']
Нету слова 任务：被遗忘者的情报 | ['任务：被遗忘者的情报', '_', 'Задание: чума Отрекшихся']
Нету слова 飞蛾叛乱 | ['飞蛾叛乱', '_', 'Восстание мотыльков']
Нету слова 奥达曼奖励任务 | ['奥达曼奖励任务', '_', 'Ульдаман – награда']
Нету слова 任务报告：遗失的补给 | ['任务报告：遗失的补给', '_', 'Оперативный отчет: пропавшие припасы']
Нету слова 扼杀在摇篮 | ['扼杀在摇篮', '_', 'Конец нового начала']
Нету слова 暗影迷宫奖励任务 | ['暗影迷宫奖励任务', '_', 'Темный лабиринт – награда']
Нету слова 祖尔格拉布（奖励目标）奖励任务 | ['祖尔格拉布（奖励目标）奖励任务', '_', 'ЗулГуруб – Дополнительная задача']
Нету слова 风暴熔炉（英雄难度） | ['风暴熔炉（英雄难度）', '_', 'Героический режим: Горнило Штормов']
Нету слова 专横精锐 | ['专横精锐', '_', 'Господствующая элита']
Нету слова 联盟英雄：冷酷 | ['联盟英雄：冷酷', '_', 'Беспощадный герой Альянса']
Нету слова 端掉那些炮台！ | ['端掉那些炮台！', '_', 'Уничтожитель пушек']
Нету слова 联盟英雄：惊恶 | ['联盟英雄：惊恶', '_', 'Герой Альянса: зловещий']
Нету слова 学习烹饪食谱 | ['学习烹饪食谱', '_', 'Изучено кулинарных рецептов']
Нету слова 联盟英雄：血仇 | ['联盟英雄：血仇', '_', 'Герой Альянса: мстительный']
Нету слова 联盟英雄：无畏 | ['联盟英雄：无畏', '_', 'Герой Альянса: бесстрашный']
Нету слова 联盟英雄：凶残 | ['联盟英雄：凶残', '_', 'Яростный герой Альянса']
Нету слова 风暴烈酒酿造厂：白银 | ['风暴烈酒酿造厂：白银', '_', 'Хмелеварня Буйных Портеров: серебро']
Нету слова 联盟英雄：罪邪 | ['联盟英雄：罪邪', '_', 'Герой Альянса: отъявленный "исследователь"']
Нету слова 谁说幽灵不闪亮 | ['谁说幽灵不闪亮', '_', 'Призрак освещенный']
Нету слова 联盟英雄：骄矜 | ['联盟英雄：骄矜', '_', 'Герой Альянса: Гордый']
Нету слова 部落英雄 | ['部落英雄', '_', 'Герой Орды']
Нету слова 收藏家：螳螂妖帝国旗帜 | ['收藏家：螳螂妖帝国旗帜', '_', 'Коллекционер: знамена империи богомолов']
Нету слова 联盟英雄：恶孽 | ['联盟英雄：恶孽', '_', 'Герой Альянса: Бездушный']
Нету слова 炸弹超人 | ['炸弹超人', '_', 'Бомбермэн']
Нету слова 孤独的反叛者 | ['孤独的反叛者', '_', 'Бунтарь и одиночка']
Нету слова 我拿钻石，你吃铁锈 | ['我拿钻石，你吃铁锈', '_', 'Бриллианты и ржавчина']
Нету слова 联盟英雄：凶猛 | ['联盟英雄：凶猛', '_', 'Герой Альянса: свирепый']
Нету слова 联盟英雄：悚然 | ['联盟英雄：悚然', '_', 'Ужасающий герой Альянса']
Нету слова 联盟英雄：狂野 | ['联盟英雄：狂野', '_', 'Герой Альянса: дикий']
Нету слова 风暴烈酒酿造厂：黄金 | ['风暴烈酒酿造厂：黄金', '_', 'Хмелеварня Буйных Портеров: золото']
Нету слова 联盟英雄：暴虐 | ['联盟英雄：暴虐', '_', 'Герой Альянса: Деспотичный']
Нету слова 联盟英雄：残虐 | ['联盟英雄：残虐', '_', 'Герой Альянса: жестокий']
Нету слова 联盟英雄：原祖 | ['联盟英雄：原祖', '_', 'Герой Альянса: необузданный']
Нету слова 联盟英雄：恶毒 | ['联盟英雄：恶毒', '_', 'Герой Альянса: Злонравный']
Нету слова 联盟英雄：好战 | ['联盟英雄：好战', '_', 'Герой Альянса: воинственный']
Нету слова 联盟英雄：暴烈 | ['联盟英雄：暴烈', '_', 'Герой Альянса: неудержимый']
Нету слова 挑战模式地下城完成次数 | ['挑战模式地下城完成次数', '_', 'Пройдено в режиме испытаний']
Нету слова 大显身手：维姆·盐心 | ['大显身手：维姆·盐心', '_', 'Опытный боец: Вим Соленодух']
Нету слова 部落英雄：专横 | ['部落英雄：专横', '_', 'Герой Орды: господствующий']
Нету слова 大显身手：奈莉·锐鳍 | ['大显身手：奈莉·锐鳍', '_', 'Опытный боец: Нери Остроерш']
Нету слова 联盟英雄：罪孽 | ['联盟英雄：罪孽', '_', 'Грешный герой Альянса']
Нету слова 风暴烈酒酿造厂：青铜 | ['风暴烈酒酿造厂：青铜', '_', 'Хмелеварня Буйных Портеров: бронза']
Нету слова 联盟英雄：恶魔 | ['联盟英雄：恶魔', '_', 'Герой Альянса: демонический']
Нету слова 联盟英雄：腐化 | ['联盟英雄：腐化', '_', 'Падший герой Альянса']
Нету слова "争霸艾泽拉斯"钥石大师 | ['"争霸艾泽拉斯"钥石大师', '_', 'Мастер ключей']
Нету слова 春节凯尔萨斯 | ['春节凯尔萨斯', '_', 'Лунный Кельтас']
Нету слова 高升春节希尔瓦娜斯 | ['高升春节希尔瓦娜斯', '_', 'Небесная лунная Сильвана']
Нету слова 青玉春节希尔瓦娜斯 | ['青玉春节希尔瓦娜斯', '_', 'Нефритовая лунная Сильвана']
Нету слова 春节希尔瓦娜斯 | ['春节希尔瓦娜斯', '_', 'Лунная Сильвана']
Нету слова 大显身手阿兹乔丹 | ['大显身手阿兹乔丹', '_', 'Звезда Азмоданк']
Нету слова 地狱吼露奇花花 | ['地狱吼露奇花花', '_', 'Лучихуахуа Адских Крикунов']
Нету слова 露奇花花 | ['露奇花花', '_', 'Лучихуахуа']
Нету слова 春节阿尔萨斯灯笼 | ['春节阿尔萨斯灯笼', '_', 'Лунный фонарь Артаса']
Нету слова 春节凯尔萨斯灯笼 | ['春节凯尔萨斯灯笼', '_', 'Лунный фонарь Кельтаса']
Нету слова 春节希尔瓦娜斯灯笼 | ['春节希尔瓦娜斯灯笼', '_', 'Лунный фонарь Сильваны']
Нету слова 南瓜灯拉格纳罗斯 | ['南瓜灯拉格纳罗斯', '_', 'Тыкварос']
Нету слова 大显身手2016冠军旗帜 | ['大显身手2016冠军旗帜', '_', 'Вымпел звезды 2016']
Нету слова 发放额外奖励 | ['发放额外奖励', '_', 'Отдать бонусы']
Нету слова 选择额外奖励 | ['选择额外奖励', '_', 'Избранные бонусы']
Нету слова 获得的部落对战奖励 | ['获得的部落对战奖励', '_', 'Военный бонус']
Нету слова 资源和每日奖励 | ['资源和每日奖励', '_', 'Ресурсы и ежедневные бонусы']
Нету слова 部落特权奖励 | ['部落特权奖励', '_', 'Бонус привилегии']
Нету слова 每日对抗赛奖励 | ['每日对抗赛奖励', '_', 'Ежедневные победы']
Нету слова 胜利之星奖励加成 | ['胜利之星奖励加成', '_', 'Увеличение звездного бонуса']
Нету слова 您获得了奖励 | ['您获得了奖励', '_', 'Вы получили награду']
Нету слова 胜利之星奖励 | ['胜利之星奖励', '_', 'Звездный бонус']
Нету слова 每日胜利之星奖励 | ['每日胜利之星奖励', '_', 'Ежедневные звезды']
Нету слова 查看归还奖励 | ['查看归还奖励', '_', 'Посмотреть награды воссоединения']
Нету слова 放灯可能获得奖励 | ['放灯可能获得奖励', '_', 'Возможные награды']
Нету слова 选择获得的食谱 | ['选择获得的食谱', '_', 'Выбрать полученный рецепт']
Нету слова 破碎的绝岩 | ['破碎的绝岩', '_', 'Разрушенный утёс']
Нету слова 前往领取奖励 | ['前往领取奖励', '_', 'Получить награды']
Нету слова 璀璨原钻 | ['璀璨原钻', '_', 'Драгоценный бриллиант']
Нету слова 归离城墟 | ['归离城墟', '_', 'Забытый город Гуйли']
Нету слова 阅读教程奖励 | ['阅读教程奖励', '_', 'Награды за прохождение обучения']
Нету слова 有调查奖励尚未领取 | ['有调查奖励尚未领取', '_', 'Доступны награды экспедиций']
Нету слова 璀璨原钻断片 | ['璀璨原钻断片', '_', 'Фрагмент бриллианта']
Нету слова 追击深渊教团的敌人 | ['追击深渊教团的敌人', '_', 'Поймайте члена ордена Бездны']
Нету слова 消灭来袭的敌人 | ['消灭来袭的敌人', '_', 'Одолейте наступающих врагов']
Нету слова 深境回廊奖励 | ['深境回廊奖励', '_', 'Награды Коридора Бездны']
Нету слова 探索派遣奖励 | ['探索派遣奖励', '_', 'Награды за экспедиции']
Нету слова 寻踪讨伐奖励 | ['寻踪讨伐奖励', '_', 'Награды за заказ']
Нету слова 渊月螺旋奖励 | ['渊月螺旋奖励', '_', 'Награды Лунной Спирали']
Нету слова "已离开任务区域" | ['"已离开任务区域"', '_', 'Уже покинули зону задания']
Нету слова 冒险与探索奖励 | ['冒险与探索奖励', '_', 'Исследование мира и приключения']
Нету слова 璀璨原钻碎屑 | ['璀璨原钻碎屑', '_', 'Осколок бриллианта']
Нету слова 额外奖励说明 | ['额外奖励说明', '_', 'Подробнее о дополнительной награде']
Нету слова 领取归还奖励 | ['领取归还奖励', '_', 'Награды воссоединения']
Нету слова 挑战奖励 | ['挑战奖励', '_', 'Награды испытания']
Нету слова 击败深渊教团的敌人 | ['击败深渊教团的敌人', '_', 'Одолейте мага Бездны']
Нету слова 请选择想要领取的奖励物品 | ['请选择想要领取的奖励物品', '_', 'Выберите желаемый предмет']
Нету слова 蒙德地区探索奖励 | ['蒙德地区探索奖励', '_', 'Исследование Мондштадта']
Нету слова 无可接受的奖励 | ['无可接受的奖励', '_', 'Нет доступных наград']
Нету слова 璀璨原钻块 | ['璀璨原钻块', '_', 'Кусок бриллианта']
Нету слова 璃月地区探索奖励 | ['璃月地区探索奖励', '_', 'Исследование Ли Юэ']
Нету слова 明霄灯进度奖励 | ['明霄灯进度奖励', '_', 'Награды строительства лунного фонаря']
Нету слова 存在可领取的奖励 | ['存在可领取的奖励', '_', 'Доступна награда']
Нету слова 我的收藏 | ['我的收藏', '_', 'Моя коллекция']
Нету слова 通过战斗赢取奖励 | ['通过战斗赢取奖励', '_', 'Сражайтесь за награды']
Нету слова *爬行类的"怒吼"* | ['*爬行类的"怒吼"*', '_', '*рев рептилии*']
Нету слова *风暴轰鸣* | ['*风暴轰鸣*', '_', '*звук шторма*']
Нету слова 暴虐食尸鬼 | ['暴虐食尸鬼', '_', 'Буйный вурдалак']
Нету слова 闪光飞蛾 | ['闪光飞蛾', '_', 'Сверкающий мотылек']
Нету слова 飞蛾之尘 | ['飞蛾之尘', '_', 'Пыльца мотылька']
Нету слова 你们这是自寻死路 | ['你们这是自寻死路', '_', 'Вы не готовы']
Нету слова 艰难决定 | ['艰难决定', '_', 'Непростое решение']
Нету слова 不稳定的邪能能量 | ['不稳定的邪能能量', '_', 'Нестабильная Скверна']
Нету слова 孤胆豪客 | ['孤胆豪客', '_', 'Дерзость и слава']
Нету слова 祖尔法拉克之力 | ['祖尔法拉克之力', '_', 'Мощь ЗулФаррака']
Нету слова 安保魔像 | ['安保魔像', '_', 'Охранный голем']
Нету слова 行贿者钱包 | ['行贿者钱包', '_', 'Кошель со Взяткой']
Нету слова 石像鬼城堡 | ['石像鬼城堡', '_', 'Замок Горгульи']
Нету слова 秽言啸鸣 | ['秽言啸鸣', '_', 'Вопль Дурной Речи']
Нету слова 老年告密客 | ['老年告密客', '_', 'Дряхлый доносчик']
Нету слова 遭缉食尸鬼 | ['遭缉食尸鬼', '_', 'Преследуемый Упырь']
Нету слова 恶毒阴影 | ['恶毒阴影', '_', 'Злобные Тени']
Нету слова 嘘声捣乱人 | ['嘘声捣乱人', '_', 'Шикающий Зануда']
Нету слова 咒语灰灭 | ['咒语灰灭', '_', 'Иссушение Заклинания']
Нету слова 血书诅咒 | ['血书诅咒', '_', 'Проклятие Кровавого Тома']
Нету слова 放肆成长 | ['放肆成长', '_', 'Необузданный Рост']
Нету слова 部族反抗 | ['部族反抗', '_', 'Дерзость Клана']
Нету слова 掐灭咒语 | ['掐灭咒语', '_', 'Затушить Заклинание']
Нету слова 卡恩的时间碎裂 | ['卡恩的时间碎裂', '_', 'Временной Раскол Карна']
Нету слова 拉铎司火轮师 | ['拉铎司火轮师', '_', 'Огненный Акробат Ракдосов']
Нету слова 狂徒嬉戏 | ['狂徒嬉戏', '_', 'Разбойничье Веселье']
Нету слова 薇薇安的猎豹 | ['薇薇安的猎豹', '_', 'Ягуар Вивьен']
Нету слова 不朽见证人 | ['不朽见证人', '_', 'Вечная Свидетельница']
Нету слова 景仰象族 | ['景仰象族', '_', 'Почтенный Локсодон']
Нету слова 争议计划 | ['争议计划', '_', 'Спорный План']
Нету слова 执政监视网 | ['执政监视网', '_', 'Консульская Слежка']
Нету слова 狱雷妖 | ['狱雷妖', '_', 'Адский Громовержец']
Нету слова 乙金憎恨兽 | ['乙金憎恨兽', '_', 'Эфириевая Мерзость']
Нету слова 浪客手套 | ['浪客手套', '_', 'Перчатки Плута']
Нету слова 时间延展 | ['时间延展', '_', 'Тянуть Время']
Нету слова 最好不要对结果抱什么期待 | ['最好不要对结果抱什么期待', '_', 'Снизьте ожидания']
Нету слова 辛勤付出总有回报 | ['辛勤付出总有回报', '_', 'Потрудилась на славу']
Нету слова 帮敌人洗洗车吧 | ['帮敌人洗洗车吧', '_', 'Комната смерти']
Нету слова 安保女将 | ['安保女将', '_', 'Начальник охраны']
Нету слова 总有回报 | ['总有回报', '_', 'Потрудился на славу']
Нету слова 运载目标生命值奖励 | ['运载目标生命值奖励', '_', 'Бонус за сохранность груза']
Нету слова 璀璨光牛 | ['璀璨光牛', '_', 'Мерцающий бык']
Нету слова 这种天气最适合吃糖煎饼啦 | ['这种天气最适合吃糖煎饼啦', '_', 'Не помешал бы хотток']
Нету слова 诡奇反馈护符 | ['诡奇反馈护符', '_', 'Амулет сверхъестественных рефлексов']
Нету слова 诡奇反馈 | ['诡奇反馈', '_', 'Сверхъестественные рефлексы']
Нету слова 最亲爱的德雅拉 | ['最亲爱的德雅拉', '_', 'Милая Диния']
Нету слова 获得石林蓝酒 | ['获得石林蓝酒', '_', 'Добыть Балморскую синь']
Нету слова 石林蓝酒笔记 | ['石林蓝酒笔记', '_', 'Записка о Балморской сини']
Нету слова 白头之约 | ['白头之约', '_', 'Кольцо святости брака']
Нету слова 剥皮者克雷夫 | ['剥皮者克雷夫', '_', 'Крев Шкуродер']
Нету слова 瓶装飞蛾 | ['瓶装飞蛾', '_', 'Мотылек в банке']
Нету слова 放置石林蓝酒 | ['放置石林蓝酒', '_', 'Подкинуть Балморскую синь']
Нету слова 展现你的“无形冲击”龙吼 | ['展现你的“无形冲击”龙吼', '_', 'Продемонстрировать Безжалостную силу']
Нету слова 沙利多的魔法心得奖励 | ['沙利多的魔法心得奖励', '_', 'Работы Шалидора - награда']
Нету слова 询问囚犯们关于迈德纳奇的事情 | ['询问囚犯们关于迈德纳奇的事情', '_', 'Расспросить каторжников о Маданахе']
Нету слова 先祖飞蛾翅膀 | ['先祖飞蛾翅膀', '_', 'Крыло мотылька предка']
Нету слова 先祖飞蛾 | ['先祖飞蛾', '_', 'Мотылек предка']
Нету слова 亲爱的德雅拉 | ['亲爱的德雅拉', '_', 'Милая Диния']
Нету слова 召唤风暴 - 风暴 | ['召唤风暴 - 风暴', '_', 'Грозовой зов - Струн']
Нету слова “剥皮者”克雷夫 | ['“剥皮者”克雷夫', '_', 'Крев Шкуродер']
Нету слова 沙利多的见解奖励 | ['沙利多的见解奖励', '_', 'Работы Шалидора - награда']
Нету слова 辛德莱昂的巧技 | ['辛德莱昂的巧技', '_', 'Сюрприз Синдериона']
Нету слова 萨古拉斯的敌人 | ['萨古拉斯的敌人', '_', 'Участь врагов Шакураса']
Нету слова 强健治愈 | ['强健治愈', '_', 'Под завязку']
Нету слова 环锁囚禁 | ['环锁囚禁', '_', 'Цепная реакция']
Нету слова 说...就... | ['说...就...', 'shuō... jiù ...', 'раз сказал (решил) ..., значит делай ...; ни у кого не спрашивать разрешения']
Нету слова 大迷糊 | ['大迷糊', '_', 'Зануда']
Нету слова 炸弹人 | ['炸弹人', '_', 'Кавардак']
Нету слова 伊维特 | ['伊维特', '_', 'Иветта']
Нету слова 布莉 | ['布莉', '_', 'Бритт']
Нету слова 希利克 | ['希利克', '_', 'Синрик']
Нету слова 特利克 | ['特利克', '_', 'Терек']
Нету слова 哈乔 | ['哈乔', '_', 'Хафьорг']
Нету слова 还是不太像 | ['还是不太像', '_', 'Все равно вряд ли']
Нету слова 友好的邻近公社 | ['友好的邻近公社', '_', 'Дружелюбный сосед-коммунар']
Нету слова 卡拉斯·马佐夫的自杀 | ['卡拉斯·马佐夫的自杀', '_', 'Самоубийство Краса Мазова']
Нету слова 二手制服架子 | ['二手制服架子', '_', 'Вешалка с подержанной униформой']
Нету слова 把缘由抛诸脑后 | ['把缘由抛诸脑后', '_', 'Забудь про здравый смысл']
Нету слова 胖子安格斯 | ['胖子安格斯', '_', 'Жирдяй Ангус']
Нету слова 典当＞ | ['典当＞', '_', 'Заложить＞']
Нету слова 丽耶 | ['丽耶', '_', 'Леа']
Нету слова 载入之前储存的游戏进度 | ['载入之前储存的游戏进度', '_', 'Загрузить сохраненную игру']
Нету слова 希拉德‧费兹奥耶斯泰兰 | ['希拉德‧费兹奥耶斯泰兰', '_', 'Шилярд Фиц-Эстерлен']
Нету слова 投掷向目标 | ['投掷向目标', '_', 'Точные броски']
Нету слова 诅咒物品的工艺蓝图 | ['诅咒物品的工艺蓝图', '_', 'Чертеж проклятого предмета']
Нету слова 贾巴尔‧普利马 | ['贾巴尔‧普利马', '_', 'Юбал Прима']
Нету слова 希拉德‧费兹奥耶斯泰兰的命令 | ['希拉德‧费兹奥耶斯泰兰的命令', '_', 'Приказ Шилярда Фиц-Эстерлена']
Нету слова 友善的狗 | ['友善的狗', '_', 'Дружелюбный пес']
Нету слова 迪沙谬那囚犯的笔记 | ['迪沙谬那囚犯的笔记', '_', 'Записки пленника из Тесхам-Мутны']
Нету слова 倒霉鬼的宝藏 | ['倒霉鬼的宝藏', '_', 'Клад неудачника']
Нету слова 螯虾巧达汤食谱 | ['螯虾巧达汤食谱', '_', 'Рецепт похлебки из раков']
Нету слова 帮会基地＞ | ['帮会基地＞', '_', 'Логово ганзы＞']
Нету слова 酿酒师的委托＞ | ['酿酒师的委托＞', '_', 'Заказ винодела＞']
Нету слова 困扰的流浪骑士＞ | ['困扰的流浪骑士＞', '_', 'Странствующий рыцарь в беде＞']
Нету слова 建造大脚丫＞ | ['建造大脚丫＞', '_', 'По стопам пророка Лебеды＞']
Нету слова ＞ | ['＞', '_', '＞']
Нету слова ＞公国仲裁官 | ['＞公国仲裁官', '_', 'Финансовый посредник княгини']
Нету слова ＞铁匠 | ['＞铁匠', '_', '＞кузнец']
Нету слова 精明腰带 | ['精明腰带', '_', 'Практичный ремень']
Нету слова 友好的巨魔 | ['友好的巨魔', '_', 'Дружелюбный тролль']
Нету слова 改良的魔杖 | ['改良的魔杖', '_', 'Импровизированный жезл']
Нету слова 璀璨的项链 | ['璀璨的项链', '_', 'Сияющее ожерелье']
Нету слова 花园门的钥匙 | ['花园门的钥匙', '_', 'Ключ от ворот в саду']
Нету слова 寒冰肌肤技能书 | ['寒冰肌肤技能书', '_', 'Книга навыка "Ледяная кожа"']
Нету слова 风度翩翩的朱恩 | ['风度翩翩的朱恩', '_', 'Лихая Джун']
Нету слова 新地图 | ['新地图', '_', 'Новая карта']
Нету слова 光滑的浅色裤子 | ['光滑的浅色裤子', '_', 'Узкие легкие брюки']
Нету слова 纳林 | ['纳林', '_', 'Нарин']
Нету слова 破烂的蓝图 | ['破烂的蓝图', '_', 'Потрепанный чертеж']
Нету слова 寒冰肌肤 | ['寒冰肌肤', '_', 'Ледяная кожа']
Нету слова 来自鸡的奖励 | ['来自鸡的奖励', '_', 'Награда курицы']
Нету слова 塔赫 | ['塔赫', '_', 'Тадг']
Нету слова 我是合成人 | ['我是合成人', '_', 'Я синт']
Нету слова 她是合成人 | ['她是合成人', '_', 'Она синт']
Нету слова 她的无线电 | ['她的无线电', '_', 'Ее рация']
Нету слова 或许吧 | ['或许吧', '_', 'Я не знаю']
Нету слова 我不是合成人 | ['我不是合成人', '_', 'Я не синт']
Нету слова 拿去吧 | ['拿去吧', '_', 'Забирайте']
Нету слова 合成人是财产 | ['合成人是财产', '_', 'Синты вещи']
Нету слова 你不是合成人 | ['你不是合成人', '_', 'Ты не синт']
Нету слова 她不是合成人 | ['她不是合成人', '_', 'Она не синт']
Нету слова 合成人的头 | ['合成人的头', '_', 'Голова синта']
Нету слова 合成人只是机器 | ['合成人只是机器', '_', 'Синты машины']
Нету слова 一群合成人 | ['一群合成人', '_', 'Группа синтов']
Нету слова 合成人的朋友 | ['合成人的朋友', '_', 'Я друг синтов']
Нету слова 合成人是块毒瘤 | ['合成人是块毒瘤', '_', 'Синты чудовища']
Нету слова 杀了合成人 | ['杀了合成人', '_', 'Избавься от синта']
Нету слова 我们保护合成人 | ['我们保护合成人', '_', 'Мы защищаем синтов']
Нету слова 自称迪玛的合成人 | ['自称迪玛的合成人', '_', 'Синт по имени ДиМа']
Нету слова 报出合成人编号 | ['报出合成人编号', '_', 'Назвать код синта']
Нету слова 有人鼓励合成人 | ['有人鼓励合成人', '_', 'Кто-то зовет синтов']
Нету слова 名为佳澄的合成人 | ['名为佳澄的合成人', '_', 'Синт по имени Касуми']
Нету слова 找出失踪的合成人 | ['找出失踪的合成人', '_', 'Найти пропавшего синта']
Нету слова 合成人是威胁 | ['合成人是威胁', '_', 'Синты угроза для людей']
Нету слова 失踪合成人的头 | ['失踪合成人的头', '_', 'Голова пропавшего синта']
Нету слова 她还是你的女儿 | ['她还是你的女儿', '_', 'Она по-прежнему ваша дочь']
Нету слова 因为你是合成人 | ['因为你是合成人', '_', 'Что ты на самом деле синт']
Нету слова 对合成人没有意见 | ['对合成人没有意见', '_', 'У меня нет определенного мнения']
Нету слова 西托 | ['西托', '_', 'Цито']
Нету слова 吸血蠕虫 | ['吸血蠕虫', '_', 'Кровочервь']
Нету слова 战狼帮豹盔 | ['战狼帮豹盔', '_', 'Шлем Стаи (ягуар)']
Нету слова 核口可乐博物馆 | ['核口可乐博物馆', '_', 'Музей "Ядер-Колы"?']
Нету слова 吸血幼蠕虫 | ['吸血幼蠕虫', '_', 'Личинка кровочервя']
Нету слова 狠毒吸血蠕虫 | ['狠毒吸血蠕虫', '_', 'Ядовитый кровочервь']
